year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,299721.2,11633.41,228024.95,96949.18
2018,300371.51,11634.52,228024.95,98056.17
2019,300877.31,11635.22,228024.95,98056.17
2020,301166.33,11635.7,228024.95,98056.17
2021,301383.1,11636.0,228024.95,98056.17
2022,301310.85,11635.89,228024.95,98056.17
2023,301021.82,11635.47,228024.95,98056.17
2024,300588.28,11634.79,228024.95,98056.17
2025,300082.48,11634.02,228024.95,96949.18
2026,299504.43,11633.16,228024.95,96949.18
2027,298926.37,11632.23,228024.95,96949.18
2028,298276.06,11631.14,228024.95,96949.18
2029,297047.7,11629.31,228024.95,95842.18
2030,295891.59,11627.41,228024.95,95842.18
2031,294735.48,11625.62,228024.95,94735.19
2032,293796.14,11624.13,228024.95,94735.19
2033,292856.8,11622.66,228024.95,94735.19
2034,291845.21,11621.06,228024.95,93628.2
2035,290616.84,11619.21,228024.95,93628.2
2036,289316.22,11617.12,228024.95,93628.2
2037,287798.83,11614.75,228024.95,92521.21
2038,286281.43,11612.39,228024.95,91414.22
2039,284836.3,11610.1,228024.95,91414.22
2040,283391.16,11607.87,228024.95,90307.23
