year,Base case diesel consumed,Modeled solar power
2020,301166.334054,296547.659531
2021,301383.104448,296801.379321
2022,301310.84765,296765.776324
2023,301021.820458,296513.109703
2024,300588.27967,296115.638601
2025,300082.482084,295645.622144
2026,299504.4277,295103.062639
2027,298926.373316,294560.219176
2028,298276.062134,293944.837227
2029,297047.696568,292751.12146
2030,295891.5878,291629.385293
2031,294735.479032,290507.374145
2032,293796.140658,289601.86061
2033,292856.802284,288696.076477
2034,291845.207112,287717.767111
2035,290616.841546,286522.421065
2036,289316.219182,285254.554065
2037,287798.826424,283769.654628
2038,286281.433666,282284.495245
2039,284836.297706,280871.334792
