year,annotation,diesel generation efficiency
2002,,13.88
2003,,13.49
2004,,12.19
2005,,15.49
2006,,16.31
2007,,
2008,,
2009,,13.86
2010,,13.67
2011,,13.76
2012,,13.73
2013,,14.04
2014,start of forecast,13.84
2015,,13.84
2016,,13.84
2017,,13.84
2018,,13.84
2019,,13.84
2020,,13.84
2021,,13.84
2022,,13.84
2023,,13.84
2024,,13.84
2025,,13.84
2026,,13.84
2027,,13.84
2028,,13.84
2029,,13.84
2030,,13.84
2031,,13.84
2032,,13.84
2033,,13.84
2034,,13.84
2035,,13.84
2036,,13.84
2037,,13.84
2038,,13.84
2039,,13.84
2040,,13.84
