year,Base case cost,Modeled non-residential energy efficiency
2017,922784.648906,1076299.30886
2018,972950.138519,1120689.60677
2019,1039077.37483,1181177.00745
2020,1068720.61869,1205312.59931
2021,1089242.86444,1220456.27866
2022,1105204.61113,1231165.51911
2023,1116605.85877,1237437.36612
2024,1123446.60736,1239268.93437
2025,1134847.855,1245778.40437
2026,1146249.10264,1252402.52542
2027,1157650.35028,1259138.61034
2028,1166771.34839,1263703.78552
2029,1178172.59603,1270655.98729
2030,1185013.34461,1273151.96455
2031,1198694.84178,1282590.52095
