year,Base case diesel consumed,Modeled wind power
2019,300877.306862,249055.524175
2020,301166.334054,249344.551367
2021,301383.104448,249561.321761
2022,301310.84765,249489.064963
2023,301021.820458,249200.037771
2024,300588.27967,248766.496983
2025,300082.482084,248260.699397
2026,299504.4277,247682.645013
2027,298926.373316,247104.590629
2028,298276.062134,246454.279447
2029,297047.696568,245225.913881
2030,295891.5878,244069.805113
2031,294735.479032,242913.696345
2032,293796.140658,241974.357971
2033,292856.802284,241035.019597
2034,291845.207112,240023.424425
2035,290616.841546,238795.058859
2036,289316.219182,237494.436495
2037,287798.826424,235977.043737
2038,286281.433666,234459.650979
