year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.1
2001,,,1.1
2003,,1.66,1.2
2004,,1.92,1.2
2005,,2.11,1.2
2006,,2.28,1.0
2008,,,1.28
2009,,4.44,1.55
2010,,4.97,1.55
2011,,4.94,1.55
2012,,5.5,1.55
2013,,6.47,5.4
2014,,,1.55
2016,,2.17,2.17
2017,,2.48,2.48
2018,,2.7,2.7
2019,,2.99,2.99
2020,,3.12,3.12
2021,,3.21,3.21
2022,,3.28,3.28
2023,,3.33,3.33
2024,,3.36,3.36
2025,,3.41,3.41
2026,,3.46,3.46
2027,,3.51,3.51
2028,,3.55,3.55
2029,,3.6,3.6
2030,,3.63,3.63
2031,,3.69,3.69
2032,,3.74,3.74
2033,,3.8,3.8
2034,,3.85,3.85
2035,,3.89,3.89
2036,,3.95,3.95
2037,,3.98,3.98
2038,,4.04,4.04
2039,,4.09,4.09
2040,,4.15,4.15
