year,Base case cost,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,165791.372568,611319.658147,32499658.489
2022,171418.755971,600852.378886,31831900.5185
2023,175314.636789,590348.454254,31186149.5039
2024,178344.766314,579954.199391,30558610.6306
2025,182240.647131,569968.689868,29942057.2753
2026,186569.403595,560309.617363,29337871.4656
2027,190465.284413,550818.507823,28749163.2136
2028,193928.289584,541489.635791,28175610.0559
2029,197878.692906,532167.975102,27611358.494
2030,200470.990193,523141.981198,27067173.3701
2031,205223.53522,514715.545916,26526895.9178
2032,209976.080246,506506.064688,25998837.5357
2033,215160.67482,498583.931847,25480990.8888
2034,219913.219846,490793.223503,24976518.2159
2035,223369.616228,482978.13076,24488588.2322
2036,228554.210802,475662.274578,24004887.6954
2037,231135.768808,467718.926144,23540201.7594
2038,236741.673649,460848.681788,23076220.6214
2039,240622.684692,453863.591148,22629476.4804
2040,246228.589532,447356.574796,22185952.7082
2041,246228.589532,440054.318691,21774682.3138
2042,246228.589532,432923.209042,21373051.0596
2043,246228.589532,425959.235154,20980833.0593
2044,245756.887254,418686.777063,20597335.9626
2045,245756.887254,412045.414089,20223287.7328
2046,245756.887254,405559.707778,19858006.2425
2047,245756.887254,399226.010455,19501286.051
2048,245756.887254,393040.759,19152926.4798
2049,245756.887254,387000.474283,18812731.5809
2050,245756.887254,381101.758912,18480510.0096
