year,Base case diesel consumed,Modeled transmission and interties
2021,86575.1292785,43287.5646392
2022,86575.1292785,43287.5646392
2023,86575.1292785,43287.5646392
2024,86575.1292785,43287.5646392
2025,86575.1292785,43287.5646392
2026,86575.1292785,43287.5646392
2027,86575.1292785,43287.5646392
2028,86575.1292785,43287.5646392
2029,86409.9095661,43204.9547831
2030,86409.9095661,43204.9547831
2031,86409.9095661,43204.9547831
2032,86409.9095661,43204.9547831
2033,86409.9095661,43204.9547831
2034,86409.9095661,43204.9547831
2035,86409.9095661,43204.9547831
2036,86409.9095661,43204.9547831
2037,86244.6898538,43122.3449269
2038,86244.6898538,43122.3449269
2039,86244.6898538,43122.3449269
2040,86244.6898538,43122.3449269
