year,Base case cost,Modeled solar power (pv)
2016,90471.010096,95567.1970469
2017,110816.165476,115541.287099
2018,126399.688747,130818.600166
2019,148043.471066,152089.076169
2020,158865.362226,162674.074916
2021,165791.372568,169414.229721
2022,171418.755971,174875.03312
2023,175314.636789,178628.214886
2024,178344.766314,181528.940625
2025,182240.647131,185288.512986
2026,186569.403595,189479.160474
2027,190465.284413,193244.968771
2028,193928.289584,196585.753606
2029,197878.692906,200407.162823
2030,200470.990193,202892.520222
2031,205223.53522,207517.013956
2032,209976.080246,212144.409236
2033,215160.67482,217202.032062
2034,219913.219846,221835.086737
2035,223369.616228,225188.481014
