year,Base case cost,Modeled water and wastewater efficiency
2017,53146.4604969,42140.4491465
2018,57115.4037659,44804.2959132
2019,62618.8927632,48539.6558919
2020,65375.7104215,50363.6096706
2021,67142.3702105,51499.9261894
2022,68573.4565152,52404.5767921
2023,69559.8336038,53001.4818206
2024,70327.1579692,53447.8885133
2025,71313.7643622,54049.1427281
2026,72409.0109745,54728.0979617
2027,73391.6792349,55330.5560901
2028,74266.5737794,55859.8738419
2029,75346.476227,56533.7480093
2030,75985.0068365,56901.9130479
2031,77178.6906364,57658.7489643
