year,Base case diesel consumed,Modeled solar power (pv)
2016,30063.8179503,29615.1257632
2017,30063.8179503,29618.7153007
2018,30063.8179503,29622.2761219
2019,30063.8179503,29625.8084565
2020,30117.3122883,29682.8068705
2021,30063.8179503,29632.7885758
2022,30063.8179503,29636.2368108
2023,30010.3236123,29586.163122
2024,30010.3236123,29589.5564059
2025,29956.8292743,29539.4282055
2026,29903.3349363,29489.2730761
2027,29849.8405983,29439.091233
2028,29742.8519224,29335.3885519
2029,29796.3462603,29392.1425969
2030,29742.8519224,29341.8818882
2031,29689.3575844,29291.5953105
2032,29582.3689084,29187.7887327
2033,29475.3802324,29083.9566981
2034,29368.3915564,28980.0994104
2035,29207.9085425,28822.7227336
