year,Base case cost,Modeled water and wastewater efficiency
2017,33292.9276566,30636.0789626
2018,35588.1047243,32185.8494381
2019,38805.3648695,34358.2989119
2020,40337.3944348,35392.794237
2021,41406.2962835,36114.5086865
2022,42162.804328,36625.1911726
2023,42770.6983423,37035.5953737
2024,43217.9246142,37337.3995006
2025,43739.9902228,37689.7167092
2026,44420.9320879,38149.4028311
2027,44935.4557938,38496.527563
2028,45378.3043378,38795.3286216
2029,46066.6178508,39260.1074164
2030,46439.2150002,39511.5647875
2031,47117.7609737,39969.6155625
