year,Base case diesel consumed,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,30063.8179503,0.0,0.0
2022,30063.8179503,0.0,0.0
2023,30010.3236123,0.0,0.0
2024,30010.3236123,0.0,0.0
2025,29956.8292743,0.0,0.0
2026,29903.3349363,0.0,0.0
2027,29849.8405983,0.0,0.0
2028,29742.8519224,0.0,0.0
2029,29796.3462603,0.0,0.0
2030,29742.8519224,0.0,0.0
2031,29689.3575844,0.0,0.0
2032,29582.3689084,0.0,0.0
2033,29475.3802324,0.0,0.0
2034,29368.3915564,0.0,0.0
2035,29207.9085425,0.0,0.0
2036,29100.9198665,0.0,0.0
2037,28993.9311905,0.0,0.0
2038,28886.9425145,0.0,0.0
2039,28726.4595005,0.0,0.0
2040,28619.4708246,0.0,0.0
2041,28458.9878106,0.0,0.0
2042,28298.5047966,0.0,0.0
2043,28191.5161207,0.0,0.0
2044,28084.5274447,0.0,0.0
2045,27924.0444307,0.0,0.0
2046,27763.5614167,0.0,0.0
2047,27656.5727408,0.0,0.0
2048,27496.0897268,0.0,0.0
2049,27335.6067128,0.0,0.0
2050,27175.1236988,0.0,0.0
