year,Base case cost,Modeled diesel efficiency
2019,85381.2429788,259731.868693
2020,91556.6293564,265345.856309
2021,95602.9410819,269024.321514
2022,98609.322877,271757.395873
2023,100834.687337,273780.454473
2024,102635.306754,275417.381216
2025,104549.334167,277157.406137
2026,107053.939072,279434.319686
2027,108951.918184,281159.755243
2028,110345.980632,282427.084741
2029,113226.115789,285045.389429
2030,114509.979901,286212.538622
2031,116976.068882,288454.437696
2032,119216.946701,290491.599349
2033,121438.566558,292511.253764
2034,123934.612368,294780.386319
2035,125301.927647,296023.400209
2036,127753.038214,298251.682543
2037,129022.993798,299406.187619
2038,131435.588441,301599.455476
