year,Base case cost,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,95602.9410819,719952.445324,410186.076857
2022,98609.322877,718866.958032,409944.857459
2023,100834.687337,717818.827223,409572.140965
2024,102635.306754,717164.325187,409424.199666
2025,104549.334167,716214.044239,409064.906244
2026,107053.939072,715035.966966,408646.670074
2027,108951.918184,714069.637716,408271.328351
2028,110345.980632,713008.578712,407716.830083
2029,113226.115789,712206.031691,407674.124166
2030,114509.979901,711443.961259,407334.187682
2031,116976.068882,710227.368062,406877.435589
2032,119216.946701,708785.563702,406195.472333
2033,121438.566558,707324.50138,405494.251116
2034,123934.612368,705728.678103,404742.695733
2035,125301.927647,704231.685021,403836.690177
2036,127753.038214,702590.926501,403040.19955
2037,129022.993798,701405.760632,402361.594418
2038,131435.588441,699726.486188,401526.587868
2039,133003.507488,698020.909965,400496.42596
2040,135656.291708,696172.63819,399576.848869
2041,134895.602222,695411.948704,398816.159382
2042,134134.912736,694651.259217,398055.469896
2043,133627.786412,694144.132893,397548.343572
2044,133120.660088,693637.006569,397041.217248
2045,132359.970602,692876.317083,396280.527762
2046,131599.281115,692115.627597,395519.838275
2047,131092.154791,691608.501273,395012.711951
2048,130331.465305,690847.811786,394252.022465
2049,129570.775819,690087.1223,393491.332979
2050,128810.086333,689326.432814,392730.643493
