year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,167000.0,8387.66,769423.0,339200.0,430223.0
2004,,167000.0,8387.66,894632.0,388160.0,506472.0
2005,,167000.0,8387.66,852500.0,356480.0,496020.0
2006,,167000.0,8387.66,817548.0,267996.0,549552.0
2007,,167000.0,8387.66,864207.0,275040.0,589167.0
2008,,167000.0,8387.66,885172.0,78162.0,807010.0
2009,,167000.0,8387.66,760760.0,42270.0,718490.0
2010,,167000.0,8387.66,699356.0,0.0,699356.0
2011,,167000.0,8387.66,701003.0,0.0,701003.0
2012,,167000.0,8387.66,758481.0,28919.0,729562.0
2013,,167000.0,8387.66,800531.0,326846.0,473685.0
2014,start of forecast,167000.0,8387.66,730000.0,167000.0,563000.0
2015,,167000.0,8387.66,729000.0,167000.0,562000.0
2016,,167000.0,8387.66,729000.0,167000.0,562000.0
2017,,167000.0,8387.66,729000.0,167000.0,562000.0
2018,,167000.0,8387.66,729000.0,167000.0,562000.0
2019,,167000.0,8387.66,729000.0,167000.0,562000.0
2020,,167000.0,8387.66,730000.0,167000.0,563000.0
2021,,167000.0,8387.66,729000.0,167000.0,562000.0
2022,,167000.0,8387.66,729000.0,167000.0,562000.0
2023,,167000.0,8387.66,728000.0,167000.0,561000.0
2024,,167000.0,8387.66,728000.0,167000.0,561000.0
2025,,167000.0,8387.66,727000.0,167000.0,560000.0
2026,,167000.0,8387.66,726000.0,167000.0,559000.0
2027,,167000.0,8387.66,725000.0,167000.0,558000.0
2028,,167000.0,8387.66,723000.0,167000.0,556000.0
2029,,167000.0,8387.66,724000.0,167000.0,557000.0
2030,,167000.0,8387.66,723000.0,167000.0,556000.0
2031,,167000.0,8387.66,722000.0,167000.0,555000.0
2032,,167000.0,8387.66,720000.0,167000.0,553000.0
2033,,167000.0,8387.66,718000.0,167000.0,551000.0
2034,,167000.0,8387.66,716000.0,167000.0,549000.0
2035,,167000.0,8387.66,713000.0,167000.0,546000.0
2036,,167000.0,8387.66,711000.0,167000.0,544000.0
2037,,167000.0,8387.66,709000.0,167000.0,542000.0
2038,,167000.0,8387.66,707000.0,167000.0,540000.0
2039,,167000.0,8387.66,704000.0,167000.0,537000.0
2040,,167000.0,8387.66,702000.0,167000.0,535000.0
