year,Base case cost,Modeled non-residential energy efficiency
2017,12448425.0219,12333213.6619
2018,13036469.3099,12875370.7077
2019,13845030.2059,13638235.4003
2020,14230934.2699,13981038.1939
2021,14488203.6459,14196667.9186
2022,14708720.2539,14376636.7792
2023,14837354.9419,14466001.3897
2024,14965989.63,14556275.0098
2025,15094624.318,14647436.337
2026,15260011.774,14776078.5989
2027,15407022.846,14887260.4275
2028,15535657.534,14980961.9796
2029,15701044.99,15112084.9309
2030,15792926.91,15170768.2583
2031,15976690.75,15321756.6303
