year,Base case cost,Modeled solar power (pv)
2016,270149.378268,275837.12257
2017,331007.20524,335840.456214
2018,378505.997023,382651.225456
2019,443816.835725,447086.664536
2020,474987.917833,477778.2104
2021,495768.639238,498203.490994
2022,513580.686157,515699.932122
2023,523971.046859,525862.023774
2024,534361.407562,536029.340485
2025,544751.768265,546201.774755
2026,558110.803454,559316.386332
2027,569985.5014,570967.70289
2028,580375.862102,581155.242488
2029,593734.897291,594285.404154
2030,601156.583507,601544.345848
2031,615999.95594,616153.32658
2032,629358.991129,629298.133388
2033,644202.363561,643917.194397
2034,659045.735993,658541.209684
2035,669436.096696,668761.040354
