year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2021,495768.639238,997652.851513,554223.719966,748030.490269,3931553.99766,27071429.514,12013715.7074,827500.421463,999002.916775,21977865.8992,3223726.29266,5371032.10816,11119526.695,1478069.1181,757214.694851,18227233.1234,31685929.7653
2022,513580.686157,976231.230879,533860.455643,760602.351861,3848587.48495,26497552.0908,11754771.1275,810509.601389,963710.029709,21512702.3076,3155937.32018,5257660.04889,10884272.9062,1447118.32202,741357.507106,17812876.0771,31010320.0376
2023,523971.046859,955755.687084,516256.830056,765965.26888,3769166.65887,25949196.3761,11508256.5257,794083.506935,933069.626361,21068047.9401,3090978.70839,5149165.18558,10659336.3544,1417392.44411,726093.976245,17423164.9536,30365641.169
2024,534361.407562,935744.600454,498986.434608,771442.889829,3691551.58491,25413273.0176,11267298.4381,778036.609198,903014.35708,20633481.12,3027499.39404,5043135.97834,10439504.7333,1388345.8979,711180.464919,17042068.4218,29735547.0588
2025,544751.768265,916187.086459,482041.460066,777032.526626,3615699.94537,24889490.6636,11031766.6481,762360.021722,873530.509278,20208765.4464,2965464.70986,4939514.64463,10224658.4091,1359962.76329,696608.770438,16669384.5992,29119695.9139
2026,558110.803454,896884.326866,464446.915996,785662.114819,3540891.77683,24372448.4082,10798837.951,746974.495277,842983.369529,19789598.2344,2904314.57794,4837303.812,10012644.6397,1332015.78072,682276.787817,16298586.5076,28511355.5341
2027,569985.5014,878108.22162,447646.399152,792933.249182,3468104.66671,23869542.8916,10572432.1869,731977.409227,813791.840089,19381861.7062,2844805.26231,4737859.77529,9806403.1691,1304807.33213,668317.83394,15938976.3026,27919797.4937
2028,580375.862102,859848.631856,431632.635289,798843.425785,3397299.19637,23380502.7219,10352428.0598,717360.485902,785943.147782,18985335.6556,2786904.47064,4641128.71047,9605822.55926,1278322.58806,654724.268059,15590365.9322,27344703.415
2029,593734.897291,841813.376911,414947.477017,807786.041259,3327418.92944,22897388.3945,10134663.1024,703009.788149,756992.840217,18593697.3835,2729791.34476,4545646.65878,9407740.15724,1252229.50325,641347.489537,15243077.0807,26776164.8737
2030,601156.583507,824557.350826,400486.077473,810967.025002,3260462.17345,22435290.1529,9927109.71879,689129.132297,731792.69859,18218952.2882,2675013.74763,4454185.10524,9218157.38872,1227149.06831,628462.492808,14915919.8302,26233073.3943
2031,615999.95594,807224.266373,383888.526499,821571.569091,3193338.36739,21970931.653,9717522.82366,675393.243489,703034.883168,17842572.1854,2620173.61622,4362459.69973,9027808.91866,1202114.77279,615638.740153,14580234.9124,25686339.7392
2032,629358.991129,790369.466792,368050.299514,830805.713858,3128047.5652,21519415.1622,9513880.19526,662006.304791,675571.741052,17476572.2294,2566820.24416,4273244.31189,8842701.10994,1177748.26433,603151.564525,14254840.741,25154869.5384
2033,644202.363561,773795.758943,351997.572024,841597.796189,3063876.12163,21075383.274,9313378.07081,648890.393747,647770.606146,17116685.031,2514398.72946,4185550.19637,8660699.08219,1153824.66027,590900.085624,13933240.4793,24631981.6222
2034,659045.735993,757588.444677,336207.717827,852480.364333,3001129.17109,20641158.8253,9117259.28089,636073.61738,620431.062499,16764755.5367,2463144.17941,4099801.14841,8482724.15099,1130436.95661,578924.72457,13618435.9597,24120599.0983
2035,669436.096696,742021.21773,322125.620655,859055.456062,2940791.27502,20224186.4717,8929465.12539,623654.819559,595974.272231,16426704.9279,2413818.57125,4017362.9855,8311735.77617,1107890.15897,567360.150065,13319762.6085,23630049.8694
2036,685763.806371,726427.034234,306359.491183,871577.963265,2880454.60989,19806334.4799,8740459.17477,611380.157444,568715.046388,16088099.7487,2364553.42387,3934897.9,8140516.12562,1085431.01192,555870.713657,13014910.5445,23137676.2304
2037,694669.829831,711644.550955,293256.590391,876858.339786,2823141.19167,19410407.2706,8562275.59318,599560.511858,545939.013431,15767085.2669,2317690.64724,3856596.64752,7978136.75488,1064000.23896,544873.666575,12732212.032,22672013.7921
2038,710997.539506,696724.829959,277974.361802,889547.414554,2765426.75349,19010608.9524,8381338.54687,587836.501095,519529.491319,15443128.7422,2270573.66492,3777712.06993,7814330.24075,1042527.58495,533892.51181,12439869.6664,22200819.4424
2039,722872.237452,682412.81321,264376.65663,897921.015474,2709995.4684,18627195.9156,8208338.72143,576484.03037,495961.925629,15132347.7748,2225282.48431,3701966.46592,7657154.35492,1021848.47231,523297.73939,12163057.8392,21749441.5031
2040,739199.947128,668136.310605,249555.912479,910768.941655,2654781.78392,18244614.9443,8035096.79181,565285.162333,470362.745182,14822361.3136,2180214.15446,3626496.53115,7500417.56767,1001316.61259,512801.320397,11882645.667,21298445.3234
2041,739199.947128,655205.189204,240278.330598,907575.427703,2604507.18014,17898481.1787,7880395.85409,554727.808182,454071.814113,14541510.2216,2139028.49467,3557849.30103,7358289.32949,982403.090619,503056.298796,11642803.6758,20892385.7425
2042,739199.947128,642577.140658,231218.191824,904456.761658,2555410.88621,17560459.915,7729320.71596,544417.891772,438162.701358,14267241.5705,2098808.1228,3490810.98876,7219492.21856,963932.853869,493539.67591,11408582.9756,20495843.1734
2043,739199.947128,630245.062669,222370.400533,901411.189514,2507465.28927,17230361.0427,7581786.40941,534349.614574,422626.459278,13999401.1054,2059530.41804,3425343.89048,7083948.17228,945895.514274,484246.099378,11179851.8355,20108594.5918
2044,739199.947128,618202.01765,213729.979273,898436.997941,2460643.41684,16907998.8598,7437709.93686,524517.312534,407454.347735,13737838.1488,2021173.28414,3361411.17675,6951580.93839,928280.924666,475170.340964,10956481.5795,19730422.1454
2045,739199.947128,606441.231717,205292.068043,895532.514036,2414918.9329,16593192.0463,7297010.25924,514915.455252,392637.83283,13482405.5788,1983715.14626,3298976.88715,6822316.06395,911079.177322,466307.295802,10738346.5679,19361113.1226
