year,Base case diesel consumed,Modeled non-residential ashp
2017,249961.76166,-293325.760711
2018,249961.76166,-293325.760711
2019,249961.76166,-293325.760711
2020,249961.76166,-293325.760711
2021,249961.76166,-293325.760711
2022,249961.76166,-293325.760711
2023,249961.76166,-293325.760711
2024,249961.76166,-293325.760711
2025,249961.76166,-293325.760711
2026,249961.76166,-293325.760711
2027,249961.76166,-293325.760711
2028,249961.76166,-293325.760711
2029,249961.76166,-293325.760711
2030,249961.76166,-293325.760711
2031,249961.76166,-293325.760711
