year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,148433.72,12153.63,1810958.41,1950727.55
2018,148433.72,12178.93,1810958.41,1953823.07
2019,148433.72,12195.34,1810958.41,1956144.71
2020,148433.72,12185.19,1810958.41,1954596.95
2021,148433.72,12177.81,1810958.41,1953823.07
2022,148433.72,12144.59,1810958.41,1949953.67
2023,148433.72,12099.51,1810958.41,1944536.51
2024,148433.72,12053.05,1810958.41,1939893.24
2025,148433.72,11993.14,1810958.41,1932928.32
2026,148433.72,11922.29,1810958.41,1924415.64
2027,148433.72,11839.25,1810958.41,1915129.08
2028,148433.72,11757.8,1810958.41,1905842.53
2029,148433.72,11676.58,1810958.41,1896555.97
2030,148433.72,11579.38,1810958.41,1885721.65
2031,148433.72,11468.25,1810958.41,1872565.7
