year,Base case cost,Modeled biomass for heat (pellet)
2017,206703.098926,238963.79834
2018,226371.978926,252433.63686
2019,253767.918926,271441.409108
2020,266412.198926,279916.762686
2021,275544.178926,285894.394082
2022,282568.778926,290378.370176
2023,287485.998926,293368.3884
2024,291700.758926,295868.529989
2025,296617.978926,298882.883108
2026,302237.658926,302411.16596
2027,307154.878926,305448.726643
2028,311369.638926,307995.296417
2029,316286.858926,311054.989557
2030,319799.158926,313120.9847
2031,326121.298926,317206.161716
2032,,
2033,,
2034,,
2035,,
2036,,
