year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,70246.0,50218.8359776
2018,70246.0,50218.8359776
2019,70246.0,50218.8359776
2020,70246.0,50218.8359776
2021,70246.0,50218.8359776
2022,70246.0,50218.8359776
2023,70246.0,50218.8359776
2024,70246.0,50218.8359776
2025,70246.0,50218.8359776
2026,70246.0,50218.8359776
2027,70246.0,50218.8359776
2028,70246.0,50218.8359776
2029,70246.0,50218.8359776
2030,70246.0,50218.8359776
2031,70246.0,50218.8359776
2032,,
2033,,
2034,,
2035,,
2036,,
