year,Base case cost,Modeled biomass for heat (cordwood)
2017,206703.098926,263483.717702
2018,226371.978926,276954.573035
2019,253767.918926,296175.557928
2020,266412.198926,304493.432104
2021,275544.178926,310233.923329
2022,282568.778926,314437.244984
2023,287485.998926,317102.83422
2024,291700.758926,319270.93112
2025,296617.978926,321981.788649
2026,302237.658926,325234.882607
2027,307154.878926,327988.911347
2028,311369.638926,330243.374951
2029,316286.858926,333038.57496
2030,319799.158926,334812.850013
2031,326121.298926,338688.103753
2032,,
2033,,
2034,,
2035,,
2036,,
