year,Base case diesel consumed,Modeled residential ashp
2017,28702.8354421,14669.1852169
2018,28702.8354421,14669.1852169
2019,28702.8354421,14669.1852169
2020,28702.8354421,14669.1852169
2021,27198.261437,13164.6112118
2022,27198.261437,13164.6112118
2023,27198.261437,13164.6112118
2024,25693.6874319,11660.0372067
2025,25693.6874319,11660.0372067
2026,24189.1134268,10155.4632016
2027,24189.1134268,10155.4632016
2028,22684.5394217,8650.88919655
2029,21179.9654167,7146.31519147
2030,21179.9654167,7146.31519147
2031,19675.3914116,5641.74118638
