year,Base case cost,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,853524.152383,1002004.96081,1189082.03734
2022,880155.878459,1024075.3703,1206840.74153
2023,901354.772459,1040997.17846,1219624.39886
2024,916755.134331,1052402.73096,1227063.21165
2025,934980.22918,1066612.08989,1237351.96593
2026,961190.322683,1088582.79424,1255364.03473
2027,979207.181404,1102737.38088,1265766.32618
2028,997047.400314,1116789.37245,1276147.2302
2029,1017714.37813,1133640.00096,1289365.0147
2030,1030515.71111,1142996.8943,1295289.69327
2031,1056125.89684,1164729.44176,1313460.35077
2032,1078804.01575,1183697.69755,1328981.63585
2033,1104344.81198,1205493.96396,1347361.9973
2034,1129565.14488,1227033.9909,1365556.55593
2035,1144315.65302,1238568.63824,1373978.76534
2036,1169460.29078,1260156.93701,1392357.55498
2037,1186756.75758,1274258.17284,1403438.06435
2038,1211825.46814,1295888.76857,1421988.81177
2039,1231656.41569,1312539.50675,1435704.38419
2040,1259243.71897,1336701.011,1456868.63329
2041,1257916.35158,1333106.9927,1450788.69492
2042,1256920.8593,1329897.97408,1445152.01994
2043,1255925.3701,1326740.83818,1439624.126
2044,1254929.86468,1323634.34964,1434202.44403
2045,1253602.53643,1320245.51448,1428552.67784
2046,1252607.03968,1317236.82729,1423336.05009
2047,1251611.54041,1314275.32181,1418218.35275
2048,1250616.04319,1311359.89661,1413197.27136
2049,1249620.54545,1308489.46916,1408270.53902
2050,1248625.04737,1305662.98509,1403435.94477
