year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4026.10067514,1405.9073877
2018,4030.11707044,1407.30990599
2019,4032.88643978,1408.27696497
2020,4034.31970988,1408.77746041
2021,4033.92832727,1408.64079028
2022,4033.16715558,1408.37499045
2023,4031.86344663,1407.91973753
2024,4030.11437125,1407.30896344
2025,4027.42327843,1406.36923849
2026,4023.36369608,1404.95163936
2027,4016.03269498,1402.39166646
2028,4006.87164279,1399.19264289
2029,4001.02249721,1397.15013138
2030,3992.14378034,1394.04969881
2031,3980.38259805,1389.94271431
