year,Base case cost,Modeled biomass for heat (pellet)
2017,199827.760135,251758.080088
2018,223170.880135,267797.384574
2019,254295.040135,289418.270394
2020,269857.120135,299921.974236
2021,280231.840135,306729.654206
2022,288877.440135,312314.802243
2023,294064.800135,315440.16255
2024,298387.600135,317960.783759
2025,304439.520135,321731.72222
2026,311356.000135,326134.204594
2027,316543.360135,329312.546298
2028,321730.720135,332503.36646
2029,327782.640135,336324.831916
2030,331240.880135,338302.819841
2031,338157.360135,342766.266454
2032,,
2033,,
2034,,
2035,,
2036,,
