year,Base case cost,Modeled biomass for heat (cordwood)
2017,199827.760135,269395.823396
2018,223170.880135,285231.355196
2019,254295.040135,306868.757146
2020,269857.120135,317004.756837
2021,280231.840135,323328.552502
2022,288877.440135,328402.704037
2023,294064.800135,330944.796785
2024,298387.600135,332876.594153
2025,304439.520135,336119.876722
2026,311356.000135,340033.113462
2027,316543.360135,342693.125548
2028,321730.720135,345380.910618
2029,327782.640135,348736.649826
2030,331240.880135,350196.379132
2031,338157.360135,354245.302418
2032,,
2033,,
2034,,
2035,,
2036,,
