year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,205119.5,5802.58,85855.92,139245.78
2018,206300.28,5810.59,85855.92,140717.04
2019,209724.96,5809.57,85855.92,139981.41
2020,207073.99,5807.89,85855.92,139981.41
2021,207828.49,5807.63,85855.92,139981.41
2022,208646.89,5801.46,85855.92,139245.78
2023,208648.02,5792.78,85855.92,138510.15
2024,209790.68,5779.59,85855.92,136303.26
2025,210676.48,5766.99,85855.92,134832.0
2026,211275.77,5755.48,85855.92,133360.74
2027,211868.44,5747.73,85855.92,132625.11
2028,212329.29,5740.96,85855.92,131889.48
2029,214708.42,5704.07,85855.92,127475.71
2030,216728.11,5674.07,85855.92,123797.56
2031,218193.51,5651.79,85855.92,120855.04
2032,218268.55,,,120855.04
2033,218116.3,,,120855.04
2034,217961.04,,,120855.04
2035,218269.79,,,120855.04
2036,219274.43,,,118648.15
