year,Base case cost,Selawik heat recovery
2019,1055357.39729,1059068.88912
2020,1088420.50834,1091764.35016
2021,1112782.80069,1115855.74252
2022,1130184.43809,1133063.87991
2023,1144105.748,1146830.38982
2024,1152806.5667,1155434.45852
2025,1164987.71287,1167480.1547
2026,1180649.18653,1182967.47835
2027,1192830.3327,1195013.17453
2028,1203271.31514,1205338.05696
2029,1217192.62505,1219104.56688
2030,1225893.44375,1227708.63557
2031,1241554.91741,1243195.95923
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
