year,Base case cost,Modeled water and wastewater efficiency
2017,466181.950053,311061.122311
2018,487604.614949,323169.360235
2019,519733.408097,341342.167779
2020,533348.872654,349038.302346
2021,544650.440164,355438.654987
2022,553758.273966,360605.605602
2023,561764.160904,365153.024843
2024,568053.805446,368734.603695
2025,574533.968288,372412.022945
2026,581986.795979,376634.93827
2027,587565.61394,379794.218486
2028,592440.830649,382555.892866
2029,599856.132716,386764.401641
2030,605085.163936,389736.674518
2031,610904.468001,393020.363528
