year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,222555.4,16804.46,174016.37,462251.56
2018,222646.03,16801.02,174016.37,460773.77
2019,223496.05,16881.36,174016.37,462251.56
2020,223414.81,16880.1,174016.37,462251.56
2021,224192.39,16951.37,174016.37,463729.34
2022,225297.16,17058.7,174016.37,465207.13
2023,226535.96,17182.42,174016.37,466684.92
2024,228018.33,17329.3,174016.37,469640.49
2025,228753.44,17404.68,174016.37,471118.28
2026,229193.43,17452.15,174016.37,471118.28
2027,229489.94,17476.66,174016.37,471118.28
2028,229710.37,17502.28,174016.37,472596.07
2029,230594.11,17583.9,174016.37,474073.85
2030,231404.77,17665.11,174016.37,474073.85
2031,230962.63,17623.27,174016.37,474073.85
2032,231257.28,,,474073.85
2033,231036.34,,,474073.85
2034,231257.3,,,474073.85
2035,231699.29,,,475551.64
2036,231846.63,,,475551.64
