year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,57201.0,52437.3035484
2018,57202.0,52438.3035484
2019,57202.0,52438.3035484
2020,57203.0,52439.3035484
2021,57204.0,52440.3035484
2022,57206.0,52442.3035484
2023,57207.0,52443.3035484
2024,57209.0,52445.3035484
2025,57210.0,52446.3035484
2026,57212.0,52448.3035484
2027,56141.0,51377.3035484
2028,56143.0,51379.3035484
2029,56143.0,51379.3035484
2030,56144.0,51380.3035484
2031,56146.0,51382.3035484
2032,56149.0,51385.3035484
2033,56152.0,51388.3035484
2034,56155.0,51391.3035484
2035,55085.0,50321.3035484
2036,55087.0,50323.3035484
