year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,56014.81,9120.14,18280.76,29799.71
2018,56014.81,9121.06,18280.76,29799.71
2019,56014.81,9121.45,18280.76,29799.71
2020,55940.81,9122.29,18280.76,29799.71
2021,55940.81,9123.46,18280.76,29799.71
2022,55940.81,9124.7,18280.76,29799.71
2023,55940.81,9126.23,18280.76,29799.71
2024,55866.82,9127.75,18280.76,29799.71
2025,55866.82,9129.37,18280.76,29799.71
2026,55866.82,9131.04,18280.76,29799.71
2027,55792.82,9132.94,18280.76,28726.99
2028,55792.82,9135.0,18280.76,28726.99
2029,55792.82,9135.39,18280.76,28726.99
2030,55792.82,9136.28,18280.76,28726.99
2031,55792.82,9137.77,18280.76,28726.99
2032,55718.83,9140.59,18280.76,28726.99
2033,55718.83,9143.77,18280.76,28726.99
2034,55644.83,9146.83,18280.76,28726.99
2035,55644.83,9149.51,18280.76,27654.26
2036,55570.83,9151.57,18280.76,27654.26
2037,55570.83,9153.14,18280.76,27654.26
2038,55570.83,9154.81,18280.76,27654.26
2039,55496.84,9156.95,18280.76,27654.26
2040,55496.84,9159.38,18280.76,27654.26
