year,Base case cost,Modeled biomass for heat (pellet)
2017,247139.682843,248093.62347
2018,265588.160464,264704.099101
2019,291105.833147,287739.269019
2020,303095.64833,298489.701001
2021,311472.264,305961.269282
2022,317733.955828,311515.418849
2023,322064.917352,315318.374406
2024,325592.437473,318395.105525
2025,329895.855582,322179.179794
2026,335112.284971,326796.137215
2027,333070.147995,324239.201464
2028,336614.914457,327337.160074
2029,341366.529335,331530.963082
2030,344289.358908,334069.920937
2031,349532.787322,338716.101317
2032,354769.212137,343359.11149
2033,360088.368172,348079.679929
2034,365709.410061,353076.453743
2035,362126.747779,349072.559408
2036,367621.723998,353949.249503
