year,Base case cost,Modeled non-residential energy efficiency
2017,126934.675762,130579.243146
2018,134887.667232,137619.38269
2019,145811.079323,147454.232705
2020,150989.833898,151922.189878
2021,154587.870292,154928.605914
2022,157295.226371,157107.95263
2023,159174.324231,158522.458929
2024,160652.84646,159581.162661
2025,162523.026877,161002.289107
2026,164824.993973,162825.786834
2027,166699.633112,164266.1898
2028,168204.907667,165381.289796
2029,170319.963111,167057.784347
2030,171624.595219,167986.042047
2031,173966.690804,169884.597376
