year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,57201.0,51960.9339032
2018,57202.0,51961.9339032
2019,57202.0,51961.9339032
2020,57203.0,51962.9339032
2021,57204.0,51963.9339032
2022,57206.0,51965.9339032
2023,57207.0,51966.9339032
2024,57209.0,51968.9339032
2025,57210.0,51969.9339032
2026,57212.0,51971.9339032
2027,56141.0,50900.9339032
2028,56143.0,50902.9339032
2029,56143.0,50902.9339032
2030,56144.0,50903.9339032
2031,56146.0,50905.9339032
2032,56149.0,50908.9339032
2033,56152.0,50911.9339032
2034,56155.0,50914.9339032
2035,55085.0,49844.9339032
2036,55087.0,49846.9339032
