year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9120.14067618,5928.09143952
2018,9121.05652298,5928.68673994
2019,9121.45345208,5928.94474385
2020,9122.28946027,5929.48814918
2021,9123.46020467,5930.24913304
2022,9124.70279717,5931.05681816
2023,9126.23171664,5932.05061582
2024,9127.74538754,5933.0345019
2025,9129.37332288,5934.09265987
2026,9131.03508475,5935.17280509
2027,9132.936762,5936.4088953
2028,9134.99991435,5937.74994433
2029,9135.39497899,5938.00673634
2030,9136.28452366,5938.58494038
2031,9137.76623248,5939.54805111
