year,Base case diesel consumed,Modeled residential energy efficiency
2017,33684.7071958,22985.2664555
2018,33684.7071958,22985.2664555
2019,32611.9796509,21912.5389106
2020,32611.9796509,21912.5389106
2021,31539.252106,20839.8113657
2022,31539.252106,20839.8113657
2023,30466.524561,19767.0838207
2024,29393.7970161,18694.3562758
2025,29393.7970161,18694.3562758
2026,28321.0694712,17621.6287309
2027,28321.0694712,17621.6287309
2028,27248.3419262,16548.9011859
2029,27248.3419262,16548.9011859
2030,27248.3419262,16548.9011859
2031,26175.6143813,15476.173641
