year,Base case cost,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,7810158.06337,7876034.86812,7857542.53155,8686022.19435
2022,8069358.47451,8124328.10333,8115554.62749,8932006.84295
2023,8270910.46616,8317396.73592,8316182.37399,9123279.90817
2024,8414632.70212,8455059.4297,8459244.43484,9259660.05383
2025,8587158.22443,8620313.50138,8630977.74702,9423375.06778
2026,8817491.94497,8840951.95443,8860255.18739,9641961.44384
2027,8989988.30132,9006176.86016,9031959.33361,9805647.29183
2028,9133656.64367,9143785.66032,9174967.50085,9941973.54387
2029,9334729.93316,9336375.59075,9375116.5452,10132767.9069
2030,9478158.60741,9473744.72282,9517885.04434,10268854.4909
2031,9679395.47989,9666498.23624,9718197.67167,10459812.437
2032,9909202.94509,9886610.43394,9946948.85669,10677872.5577
2033,10139203.1592,10106915.3806,10175892.7907,10896125.4273
2034,10397757.481,10354562.5264,10433258.7972,11141463.9865
2035,10541074.5637,10491820.067,10575915.7049,11277438.979
2036,10799805.7834,10739644.1107,10833458.6093,11522954.4361
2037,10942839.4491,10876618.2342,10975832.0999,11658646.0115
2038,11172476.9909,11096560.5085,11204413.3615,11876536.2088
2039,11373290.957,11288891.1155,11404303.0825,12067071.2485
2040,11660708.7991,11564189.8733,11690400.5744,12339804.91
2041,11659938.4374,11563419.5116,11689630.2127,12339034.5483
2042,11659168.0756,11562649.1498,11688859.8509,12338264.1865
2043,11658397.7139,11561878.7881,11688089.4892,12337493.8248
2044,11657627.3522,11561108.4264,11687319.1275,12336723.4631
2045,11656856.9904,11560338.0646,11686548.7657,12335953.1013
2046,11656343.4159,11559824.4901,11686035.1912,12335439.5268
2047,11655573.0542,11559054.1284,11685264.8295,12334669.1651
2048,11655059.4797,11558540.5539,11684751.255,12334155.5906
2049,11654545.9052,11558026.9794,11684237.6805,12333642.0161
2050,11654032.3307,11557513.4049,11683724.106,12333128.4416
