year,Base case diesel consumed,Modeled wind power
2019,361391.861936,212236.864129
2020,361391.861936,212236.864129
2021,361391.861936,212236.864129
2022,361391.861936,212236.864129
2023,361391.861936,212236.864129
2024,361391.861936,212236.864129
2025,361391.861936,212236.864129
2026,361391.861936,212236.864129
2027,361391.861936,212236.864129
2028,361391.861936,212236.864129
2029,361391.861936,212236.864129
2030,361391.861936,212236.864129
2031,361391.861936,212236.864129
2032,361391.861936,212236.864129
2033,361391.861936,212236.864129
2034,361391.861936,212236.864129
2035,361391.861936,212236.864129
2036,361391.861936,212236.864129
2037,361391.861936,212236.864129
2038,361391.861936,212236.864129
