year,Base case cost,Modeled wind power
2019,903479.654841,1100678.85571
2020,968530.189989,1137567.50027
2021,1011897.21342,1162159.92998
2022,1048036.39962,1182653.6214
2023,1069719.91133,1194949.83625
2024,1087789.50443,1205196.68196
2025,1113086.93476,1219542.26596
2026,1141998.28372,1235937.2191
2027,1163681.79544,1248233.43395
2028,1185365.30715,1260529.6488
2029,1210662.73749,1274875.2328
2030,1225118.41196,1283072.70937
2031,1254029.76092,1299467.6625
2032,1286555.02849,1317911.98478
2033,1315466.37745,1334306.93792
2034,1347991.64502,1352751.2602
2035,1366061.23812,1362998.10591
2036,1398586.50569,1381442.42819
2037,1416656.09879,1391689.2739
2038,1449181.36636,1410133.59618
