year,Base case cost,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Mary's lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44', 132.14')","Meyers chuck (cannery creek; 155.46', 132.11')"
2021,1011897.21342,1088322.60072,1670734.61496,1171809.16016,1992900.4509,1183037.59047,1150227.37076,1133493.83295,3112717.39999,11813546.5519,1273083.08284,308506.668906,999941.393173,34072042.6896,6244241.13326,2342884.18798,1080529.16815,2606234.58792,2694168.22865,1029189.4527,1815317.1165,1717351.56312
2022,1048036.39962,1123279.50394,1705927.97478,1195260.19539,2007758.54353,1213738.27498,1184506.12426,1166086.17022,3110402.60106,11791613.832,1307283.32496,305671.040215,1026778.4159,34041950.3035,6239497.07006,2353013.14872,1113712.6469,2611634.41676,2692182.34173,1064926.66268,1850656.31664,1750793.12191
2023,1069719.91133,1144253.64587,1727043.99067,1209330.81653,2016673.39912,1232158.68568,1205073.37636,1185641.57258,3109013.7217,11778454.2001,1327803.47022,303969.663,1042880.62954,34023894.8718,6236650.63215,2359090.52516,1133622.73415,2614874.31406,2690990.80958,1086368.98867,1871859.83672,1770858.05718
2024,1087789.50443,1161732.09748,1744640.67057,1221056.33415,2024102.44543,1247509.02793,1222212.75311,1201937.74121,3107856.32223,11767487.8401,1344903.59128,302551.848655,1056299.14091,34008848.6788,6234278.60055,2364155.00552,1150214.47353,2617574.22848,2689997.86612,1104237.59366,1889529.43679,1787578.83657
2025,1113086.93476,1186201.92973,1769276.02244,1237472.05881,2034503.11028,1268999.50709,1246207.88056,1224752.3773,3106235.96298,11752134.9362,1368843.76076,300566.908571,1075085.05682,33987784.0085,6230957.75631,2371245.27804,1173442.90866,2621354.10866,2688607.74528,1129253.64065,1914266.87688,1810987.92773
2026,1141998.28372,1214167.4523,1797430.71029,1256232.88699,2046389.58438,1293560.05469,1273630.88336,1250826.24711,3104384.12383,11734588.7603,1396203.95445,298298.405618,1096554.675,33963710.0996,6227162.50576,2379348.44663,1199989.69166,2625673.97173,2687019.03575,1157843.40863,1942538.23699,1837741.17476
2027,1163681.79544,1235141.59423,1818546.72618,1270303.50813,2055304.43997,1311980.4654,1294198.13546,1270381.64948,3102995.24447,11721429.1284,1416724.09972,296597.028403,1112656.88864,33945654.6679,6224316.06784,2385425.82307,1219899.77892,2628913.86903,2685827.5036,1179285.73462,1963741.75707,1857806.11003
2028,1185365.30715,1256115.73617,1839662.74207,1284374.12927,2064219.29555,1330400.8761,1314765.38757,1289937.05184,3101606.36512,11708269.4965,1437244.24499,294895.651189,1128759.10228,33927599.2363,6221469.62992,2391503.19951,1239809.86617,2632153.76633,2684635.97144,1200728.06061,1984945.27715,1877871.04531
2029,1210662.73749,1280585.56842,1864298.09394,1300789.85393,2074619.96039,1351891.35526,1338760.51502,1312751.68792,3099986.00586,11692916.5926,1461184.41447,292910.711105,1147545.01819,33906534.566,6218148.78569,2398593.47202,1263038.3013,2635933.64651,2683245.8506,1225744.1076,2009682.71725,1901280.13646
2030,1225118.41196,1294568.32971,1878375.43786,1310170.26802,2080563.19744,1364171.62906,1352472.01642,1325788.62283,3099060.08629,11684143.5046,1474864.51131,291776.459628,1158279.82728,33894497.6116,6216251.16041,2402645.05632,1276311.6928,2638093.57805,2682451.49583,1240038.99159,2023818.3973,1914656.75997
2031,1254029.76092,1322533.85228,1906530.12572,1328931.09621,2092449.67155,1388732.17667,1379895.01922,1351862.49264,3097208.24715,11666597.3287,1502224.70501,289507.956675,1179749.44547,33870423.7027,6212455.90985,2410748.2249,1302858.4758,2642413.44112,2680862.7863,1268628.75957,2052089.75741,1941410.00701
2032,1286555.02849,1353995.06518,1938204.14955,1350037.02791,2105821.95492,1416362.79272,1410745.89737,1381195.59619,3095124.92811,11646857.8808,1533004.92291,286955.890853,1203902.76593,33843340.5552,6208186.25298,2419864.28956,1332723.60668,2647273.28707,2679075.48807,1300792.24856,2083895.03753,1971507.40992
2033,1315466.37745,1381960.58775,1966358.8374,1368797.8561,2117708.42903,1440923.34033,1438168.90017,1407269.466,3093273.08896,11629311.7049,1560365.1166,284687.3879,1225372.38411,33819266.6463,6204391.00242,2427967.45815,1359270.38969,2651593.15014,2677486.77854,1329382.01654,2112166.39764,1998260.65695
2034,1347991.64502,1413421.80065,1998032.86123,1389903.7878,2131080.7124,1468553.95639,1469019.77832,1436602.56954,3091189.76992,11609572.257,1591145.3345,282135.322078,1249525.70457,33792183.4988,6200121.34555,2437083.52281,1389135.52057,2656452.99609,2675699.48031,1361545.50553,2143971.67777,2028358.05986
2035,1366061.23812,1430900.25226,2015629.54114,1401629.30542,2138509.75872,1483904.29864,1486159.15507,1452898.73817,3090032.37046,11598605.8971,1608245.45556,280717.507733,1262944.21593,33777137.3057,6197749.31395,2442148.00318,1405727.25995,2659152.9105,2674706.53685,1379414.11052,2161641.27783,2045078.83925
2036,1398586.50569,1462361.46515,2047303.56497,1422735.23713,2151882.04209,1511534.9147,1517010.03322,1482231.84172,3087949.05142,11578866.4492,1639025.67346,278165.44191,1287097.53639,33750054.1582,6193479.65707,2451264.06784,1435592.39082,2664012.75645,2672919.23863,1411577.5995,2193446.55796,2075176.24216
2037,1416656.09879,1479839.91676,2064900.24488,1434460.75474,2159311.08841,1526885.25695,1534149.40997,1498528.01035,3086791.65195,11567900.0893,1656125.79452,276747.627565,1300516.04776,33735007.9652,6191107.62548,2456328.54821,1452184.1302,2666712.67087,2671926.29517,1429446.20449,2211116.15802,2091897.02156
2038,1449181.36636,1511301.12966,2096574.26871,1455566.68645,2172683.37178,1554515.87301,1565000.28812,1527861.11389,3084708.33291,11548160.6414,1686906.01242,274195.561743,1324669.36821,33707924.8177,6186837.9686,2465444.61287,1482049.26108,2671572.51682,2670138.99694,1461609.69348,2242921.43815,2121994.42447
2039,1474478.7967,1535770.96191,2121209.62058,1471982.41111,2183084.03662,1576006.35216,1588995.41557,1550675.74998,3083087.97366,11532807.7375,1710846.1819,272210.621659,1343455.28412,33686860.1474,6183517.12437,2472534.88538,1505277.69621,2675352.39701,2668748.8761,1486625.74047,2267658.87824,2145403.51562
2040,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2041,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2042,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2043,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2044,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2045,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2046,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
2047,1510617.98289,1570727.86513,2156402.98039,1495433.44634,2197942.12926,1606707.03667,1623274.16907,1583268.08725,3080773.17473,11510875.0176,1745046.42401,269374.992968,1370292.30685,33656767.7613,6178773.06117,2482663.84612,1538461.17497,2680752.22584,2666762.98918,1522362.95045,2302998.07838,2178845.07441
