year,Base case cost,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project −geotechnical study and final design
2020,174319.676593,,,,,,516167.619326
2021,182347.556436,604049.376746,299689.270739,362958.375482,3654091.48769,493921.372087,505079.956357
2022,188081.756324,590484.359986,300216.442568,360426.121901,3578324.69577,482115.886901,494373.646708
2023,192433.579417,577150.394444,299791.77426,357206.544053,3504548.06805,470535.909555,483741.146132
2024,195869.893335,564507.358713,298880.232904,353763.528294,3433188.25173,459642.396245,473643.622809
2025,199634.276391,551819.159094,298199.369079,350485.962456,3362964.82779,448639.654587,463499.572549
2026,204782.438247,539477.224328,298628.356025,348142.786652,3294066.90847,437899.924004,453752.764002
2027,208530.698247,527321.827269,298080.63879,345083.24924,3226986.31532,427345.348959,444040.230815
2028,211958.600136,515768.53973,297459.308719,342100.256221,3161937.77282,417372.264305,434829.827695
2029,217100.452969,504215.000514,298098.091095,340089.763142,3097606.90558,407298.397963,425724.779093
2030,219687.151941,492989.352594,296949.300245,336767.564182,3035487.40574,397594.346549,416696.576058
2031,224822.695752,481928.749381,297717.533574,334963.721651,2974023.28176,387936.440251,407992.344829
2032,229675.735584,470826.52357,298268.76593,332980.12628,2913662.87652,378199.771125,399202.044564
2033,234516.157372,459946.915491,298871.348036,331084.255796,2854643.58666,368649.449966,390590.957297
2034,239912.474088,449195.309096,299917.569681,329558.344984,2796673.9567,359171.493804,382116.594345
2035,243591.334848,438923.431941,299831.511583,327262.451824,2740762.61166,350199.328352,373927.236486
2036,248961.714474,428589.307031,300972.375194,325899.74998,2685318.82716,341070.485301,365788.537254
2037,252052.434193,418819.93053,300590.652997,323484.355154,2632139.55693,332554.271502,357970.669812
2038,257397.577732,408883.446496,301821.273687,322276.800985,2579104.10615,323757.868157,350151.583946
2039,261598.685302,399322.192316,302312.789489,320580.097247,2527755.27637,315345.66966,342567.860205
2040,267481.497706,389669.048409,304016.021145,319798.312922,2476750.08738,306750.208758,335008.81169
2041,267149.222553,381229.171615,301479.041413,316007.633049,2429760.23499,299560.400329,328064.916068
2042,266816.947401,372979.316735,298993.734445,312298.009538,2383863.91957,292531.315336,321275.980301
2043,266484.672248,364915.030056,296558.88914,308667.542597,2339035.51093,285659.186763,314638.372457
2044,266152.397096,357031.96245,294173.322837,305114.377048,2295249.98072,278940.336048,308148.545892
2045,265820.121944,349325.866553,291835.880548,301636.701123,2252482.88623,272371.170706,301803.036945
2046,265487.846791,341792.594575,289545.434363,298232.745526,2210710.35779,265948.182475,295598.463163
2047,265155.571639,334428.095986,287300.882819,294900.782451,2169909.08544,259667.945354,289531.521401
2048,264491.021334,326896.139923,284768.875084,291306.849385,2129724.02972,253194.838389,283266.710687
2049,264158.746181,319857.413858,282612.911041,288113.848888,2090797.51113,247190.144643,277465.431247
2050,263826.471029,312975.870241,280499.689708,284987.896645,2052775.54516,241318.398212,271792.331601
2051,263826.471029,306580.100265,278760.484456,282259.696364,2015969.20651,235908.758299,266576.682687
2052,263826.471029,300334.231122,277062.04182,279595.438267,1980025.51628,230625.9068,261483.275524
2053,263826.471029,294234.749588,275403.406447,276993.62374,1944924.25658,225466.872175,256509.245133
2054,263826.471029,288278.224611,273783.64533,274452.789223,1910645.68242,220428.75239,251651.793545
2055,263826.471029,282461.305692,272201.847365,271971.505518,1877170.51236,215508.713541,246908.188483
2056,263826.471029,276780.720813,270657.12279,269548.3769,1844479.91661,210703.988104,242275.761666
2057,263826.471029,271233.274626,269148.602693,267182.040352,1812555.50661,206011.873406,237751.907339
2058,263826.471029,265815.846758,267675.43855,264871.164839,1781379.32525,201429.730188,233334.080888
2059,263826.471029,260525.389816,266236.80168,262614.450453,1750933.83542,196954.980918,229019.797213
2060,263826.471029,255358.927942,264831.882857,260410.627803,1721201.91165,192585.108569,224806.629547
2061,263826.471029,250313.555059,263459.89183,258258.457264,1692166.83009,188317.655139,220692.208032
2062,263826.471029,245386.433063,262120.056832,256156.728205,1663812.25801,184150.220115,216674.218238
2063,263826.471029,240574.790501,260811.62422,254104.258427,1636122.2463,180080.45936,212750.400091
2064,263826.471029,235875.920826,259533.858002,252099.893414,1609081.21931,176106.083633,208918.546443
2065,263826.471029,231287.180949,258286.03944,250142.505724,1582673.96663,172224.857373,205176.501897
2066,263826.471029,226805.989558,257067.466597,248230.994263,1556885.63332,168434.597264,201522.161435
2067,263826.471029,222429.826172,255877.454077,246364.283887,1531701.71455,164733.171445,197953.469645
2068,263826.471029,218156.229081,254715.332466,244541.32452,1507108.04368,161118.497765,194468.419039
2069,263826.471029,213982.794464,253580.448093,242761.090782,1483090.78721,157588.543035,191065.049343
2070,263826.471029,209907.174707,252472.162568,241022.581266,1459636.43511,154141.321607,
