year,Base case cost,Modeled diesel efficiency
2019,162851.276817,326554.396007
2020,174319.676593,332796.437869
2021,182347.556436,336008.791599
2022,188081.756324,337231.740772
2023,192433.579417,337291.498446
2024,195869.893335,336610.297965
2025,199634.276391,336316.524731
2026,204782.438247,337367.824566
2027,208530.698247,337231.537434
2028,211958.600136,336887.073405
2029,217100.452969,338181.85763
2030,219687.151941,337232.984754
2031,224822.695752,338678.597065
2032,229675.735584,339942.928133
2033,234516.157372,341269.558342
2034,239912.474088,343173.588672
2035,243591.334848,343586.648019
2036,248961.714474,345606.155526
2037,252052.434193,345620.338444
2038,257397.577732,347749.518541
