year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,158018.0,136994.042992
2018,158017.0,136993.042992
2019,158018.0,136994.042992
2020,156995.0,135971.042992
2021,156994.0,135970.042992
2022,156994.0,135970.042992
2023,156991.0,135967.042992
2024,156989.0,135965.042992
2025,155966.0,134942.042992
2026,155963.0,134939.042992
2027,155961.0,134937.042992
2028,154936.0,133912.042992
2029,154935.0,133911.042992
2030,154934.0,133910.042992
2031,153911.0,132887.042992
2032,152883.0,131859.042992
2033,152877.0,131853.042992
2034,151850.0,130826.042992
2035,150823.0,129799.042992
2036,149798.0,128774.042992
