year,Base case diesel consumed,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project −geotechnical study and final design
2020,57341.9988792,,,,,,0.0
2021,57341.9988792,0.0,40763.7116743,30402.2821649,0.0,0.0,0.0
2022,57341.9988792,0.0,40763.7116743,30402.2821649,0.0,0.0,0.0
2023,57271.8986361,-70.1002431286,40693.6114312,30332.1819218,-70.1002431286,-70.1002431286,-70.1002431286
2024,57271.8986361,-70.1002431286,40693.6114312,30332.1819218,-70.1002431286,-70.1002431286,-70.1002431286
2025,57201.7983929,-140.200486257,40623.511188,30262.0816787,-140.200486257,-140.200486257,-140.200486257
2026,57201.7983929,-140.200486257,40623.511188,30262.0816787,-140.200486257,-140.200486257,-140.200486257
2027,57131.6981498,-210.300729386,40553.4109449,30191.9814356,-210.300729386,-210.300729386,-210.300729386
2028,57131.6981498,-210.300729386,40553.4109449,30191.9814356,-210.300729386,-210.300729386,-210.300729386
2029,57131.6981498,-210.300729386,40553.4109449,30191.9814356,-210.300729386,-210.300729386,-210.300729386
2030,57061.5979067,-280.400972514,40483.3107018,30121.8811924,-280.400972514,-280.400972514,-280.400972514
2031,57061.5979067,-280.400972514,40483.3107018,30121.8811924,-280.400972514,-280.400972514,-280.400972514
2032,56991.4976635,-350.501215643,40413.2104586,30051.7809493,-350.501215643,-350.501215643,-350.501215643
2033,56921.3974204,-420.601458772,40343.1102155,29981.6807062,-420.601458772,-420.601458772,-420.601458772
2034,56851.2971773,-490.7017019,40273.0099724,29911.580463,-490.7017019,-490.7017019,-490.7017019
2035,56781.1969342,-560.801945029,40202.9097293,29841.4802199,-560.801945029,-560.801945029,-560.801945029
2036,56711.096691,-630.902188157,40132.8094861,29771.3799768,-630.902188157,-630.902188157,-630.902188157
2037,56640.9964479,-701.002431286,40062.709243,29701.2797337,-701.002431286,-701.002431286,-701.002431286
2038,56570.8962048,-771.102674414,39992.6089999,29631.1794905,-771.102674414,-771.102674414,-771.102674414
2039,56500.7959616,-841.202917543,39922.5087567,29561.0792474,-841.202917543,-841.202917543,-841.202917543
2040,56430.6957185,-911.303160672,39852.4085136,29490.9790043,-911.303160672,-911.303160672,-911.303160672
2041,56360.5954754,-981.4034038,39782.3082705,29420.8787611,-981.4034038,-981.4034038,-981.4034038
2042,56290.4952323,-1051.50364693,39712.2080274,29350.778518,-1051.50364693,-1051.50364693,-1051.50364693
2043,56220.3949891,-1121.60389006,39642.1077842,29280.6782749,-1121.60389006,-1121.60389006,-1121.60389006
2044,56150.294746,-1191.70413319,39572.0075411,29210.5780318,-1191.70413319,-1191.70413319,-1191.70413319
2045,56080.1945029,-1261.80437631,39501.907298,29140.4777886,-1261.80437631,-1261.80437631,-1261.80437631
2046,56010.0942597,-1331.90461944,39431.8070548,29070.3775455,-1331.90461944,-1331.90461944,-1331.90461944
2047,55939.9940166,-1402.00486257,39361.7068117,29000.2773024,-1402.00486257,-1402.00486257,-1402.00486257
2048,55799.7935304,-1542.20534883,39221.5063254,28860.0768161,-1542.20534883,-1542.20534883,-1542.20534883
2049,55729.6932872,-1612.30559196,39151.4060823,28789.976573,-1612.30559196,-1612.30559196,-1612.30559196
2050,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2051,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2052,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2053,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2054,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2055,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2056,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2057,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2058,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2059,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2060,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2061,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2062,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
2063,55659.5930441,-1682.40583509,39081.3058392,28719.8763299,-1682.40583509,-1682.40583509,-1682.40583509
