year,annotation,diesel generation efficiency
2002,,12.49
2003,,12.39
2004,,12.57
2005,,12.62
2006,,13.4
2007,,13.52
2008,,13.42
2009,,13.33
2010,,13.93
2011,,13.8
2012,,14.47
2013,,14.52
2014,start of forecast,14.27
2015,,14.27
2016,,14.27
2017,,14.27
2018,,14.27
2019,,14.27
2020,,14.27
2021,,14.27
2022,,14.27
2023,,14.27
2024,,14.27
2025,,14.27
2026,,14.27
2027,,14.27
2028,,14.27
2029,,14.27
2030,,14.27
2031,,14.27
2032,,14.27
2033,,14.27
2034,,14.27
2035,,14.27
2036,,14.27
2037,,14.27
2038,,14.27
2039,,14.27
2040,,14.27
