year,Base case cost,Modeled non-residential energy efficiency
2017,533043.882229,571117.572992
2018,568373.35387,601035.600438
2019,617834.614168,643987.394081
2020,641387.595262,663209.830273
2021,657874.682028,676001.200197
2022,669651.172576,684522.639622
2023,679072.365013,690935.315242
2024,686138.259342,695237.968656
2025,694381.802725,700673.053929
2026,704980.644217,708320.598601
2027,713224.1876,713854.520091
2028,720290.081928,718354.901575
2029,730888.923421,726145.535934
2030,736777.168694,729656.738182
2031,747376.010187,737537.263573
