year,Base case cost,Modeled solar power
2020,174319.676593,180580.511097
2021,182347.556436,188325.12814
2022,188081.756324,193815.858538
2023,192433.579417,197946.364101
2024,195869.893335,201182.996369
2025,199634.276391,204744.162886
2026,204782.438247,209677.511441
2027,208530.698247,213232.010623
2028,211958.600136,216478.686552
2029,217100.452969,221419.712158
2030,219687.151941,223841.74419
2031,224822.695752,228785.250836
2032,229675.735584,233450.633295
2033,234516.157372,238107.684529
2034,239912.474088,243317.178696
2035,243591.334848,246836.206258
2036,248961.714474,252027.951339
2037,252052.434193,254973.955352
2038,257397.577732,260148.252104
2039,261598.685302,264197.096516
