year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5842.28746259,3797.48685068
2018,5841.35651183,3796.88173269
2019,5841.60510726,3797.04331972
2020,5840.05604189,3796.03642723
2021,5839.4932607,3795.67061945
2022,5838.65489216,3795.12567991
2023,5835.64718431,3793.1706698
2024,5834.05223271,3792.13395126
2025,5832.06697817,3790.84353581
2026,5829.4247407,3789.12608146
2027,5826.95039287,3787.51775536
2028,5822.77636485,3784.80463715
2029,5822.36014969,3784.5340973
2030,5821.25483122,3783.8156403
2031,5818.68979059,3782.14836389
