year,Base case cost,Modeled water and wastewater efficiency
2017,50706.0913396,45529.7562536
2018,53760.2920546,47424.5187262
2019,58050.2851779,50180.8008503
2020,60075.7230768,51372.9820826
2021,61498.4926993,52152.7639366
2022,62509.8072278,52652.2717924
2023,63292.7235183,52997.8678983
2024,63886.7496446,53217.4596351
2025,64577.9409629,53508.7859074
2026,65464.8591994,53939.9741002
2027,66149.2339289,54235.1583718
2028,66711.3017865,54449.4857885
2029,67622.1316485,54910.1932926
2030,68117.634881,55087.0370877
2031,69002.0700675,55536.9534531
