year,Base case cost,Modeled biomass for heat (cordwood)
2017,329261.003472,367439.268669
2018,355788.023472,387053.782901
2019,392517.743472,414212.341068
2020,409522.243472,426785.747627
2021,421085.303472,435335.664087
2022,429927.643472,441873.835497
2023,436049.263472,446400.261858
2024,441490.703472,450423.751957
2025,447612.323472,454950.178318
2026,454414.123472,459979.540942
2027,460535.743472,464505.967303
2028,465977.183472,468529.457402
2029,472778.983472,473558.820025
2030,476860.063472,476576.437599
2031,484342.043472,482108.736485
2032,,
2033,,
2034,,
2035,,
2036,,
