year,Base case diesel consumed,Modeled residential ashp
2017,62966.5657372,35316.9685185
2018,64013.013439,36363.4162202
2019,65059.4611408,37409.863922
2020,66105.9088425,38456.3116238
2021,66105.9088425,38456.3116238
2022,67152.3565443,39502.7593255
2023,68198.8042461,40549.2070273
2024,69245.2519478,41595.6547291
2025,70291.6996496,42642.1024308
2026,71338.1473514,43688.5501326
2027,72384.5950532,44734.9978344
2028,73431.0427549,45781.4455362
2029,74477.4904567,46827.8932379
2030,75523.9381585,47874.3409397
2031,76570.3858602,48920.7886415
