year,Base case diesel consumed,Modeled wind power
2019,74426.9971653,60614.9464515
2020,74720.8846171,60908.8339033
2021,75014.7720689,61202.721355
2022,75308.6595207,61496.6088068
2023,75602.5469725,61790.4962586
2024,75896.4344243,62084.3837104
2025,76190.3218761,62378.2711622
2026,76557.6811908,62745.6304769
2027,76925.0405055,63112.9897917
2028,77365.8716832,63553.8209693
2029,77733.2309979,63921.1802841
2030,78100.5903127,64288.5395988
2031,78467.9496274,64655.8989135
2032,78908.7808051,65096.7300912
2033,79276.1401198,65464.089406
2034,79716.9712975,65904.9205836
2035,80084.3306122,66272.2798984
2036,80451.689927,66639.6392131
2037,80819.0492417,67006.9985279
2038,81186.4085564,67374.3578426
