year,Base case cost,Modeled solar power (pv)
2016,203390.688759,212224.467809
2017,243172.76367,251402.276701
2018,272809.843746,280610.801649
2019,314081.928038,321285.217469
2020,334002.354238,340955.831392
2021,348068.5424,354869.032037
2022,359222.305914,365918.48199
2023,367428.378286,374067.778743
2024,374928.386056,381523.570923
2025,383237.319037,389778.168043
2026,392740.904509,399217.551709
2027,401548.711439,407973.576904
2028,410039.119921,416424.340966
2029,419759.447389,426084.356008
2030,426429.223107,432738.191565
2031,437066.479425,443306.803761
2032,448201.874973,454375.043262
2033,459801.612695,465898.594075
2034,471127.300368,477160.127811
2035,479705.140367,485706.240269
