year,Base case cost,Modeled residential energy efficiency
2017,26425.9831461,28360.1021708
2018,33064.8194672,34406.1020241
2019,35839.6274494,36397.9852688
2020,37134.537841,37246.1444272
2021,38059.4738351,37811.090592
2022,38737.7602307,38188.3602287
2023,39169.397028,38377.8697275
2024,39601.0338252,38570.7815888
2025,40032.6706224,38767.0160784
2026,40649.2946184,39109.928456
2027,41142.5938153,39360.3874502
2028,41512.5682129,39518.3187891
2029,42067.5298093,39822.7051786
2030,48844.8479324,46407.8045998
2031,49557.169961,46861.5330696
