year,Base case diesel consumed,Modeled residential ashp
2017,1101.58745084,-3833.66211818
2018,1304.99962437,-3630.24994464
2019,1304.99962437,-3630.24994464
2020,1304.99962437,-3630.24994464
2021,1304.99962437,-3630.24994464
2022,1304.99962437,-3630.24994464
2023,1304.99962437,-3630.24994464
2024,1304.99962437,-3630.24994464
2025,1304.99962437,-3630.24994464
2026,1304.99962437,-3630.24994464
2027,1304.99962437,-3630.24994464
2028,1304.99962437,-3630.24994464
2029,1304.99962437,-3630.24994464
2030,1508.41179791,-3426.83777111
2031,1508.41179791,-3426.83777111
