year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7746.78738116,5035.41179775
2018,7748.11982151,5036.27788398
2019,7749.56235332,5037.21552966
2020,7750.69449392,5037.95142105
2021,7750.8538263,5038.0549871
2022,7751.90136328,5038.73588613
2023,7753.21231911,5039.58800742
2024,7753.74142537,5039.93192649
2025,7754.63136475,5040.51038708
2026,7755.17488298,5040.86367393
2027,7755.17595053,5040.86436784
2028,7755.23239743,5040.90105833
2029,7756.5757802,5041.77425713
2030,7757.64800435,5042.47120283
2031,7758.50244757,5043.02659092
