year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.1
2004,,2.01,2.29
2005,,2.47,3.8
2006,,2.71,4.8
2008,,3.53,5.48
2009,,4.11,5.97
2010,,4.81,5.77
2011,,5.05,5.53
2012,,4.58,6.43
2013,,3.98,6.56
2014,,,6.77
2016,,2.71,3.99
2017,,3.14,4.42
2018,,3.45,4.73
2019,,3.88,5.16
2020,,4.07,5.35
2021,,4.21,5.49
2022,,4.31,5.59
2023,,4.37,5.65
2024,,4.43,5.71
2025,,4.5,5.78
2026,,4.58,5.86
2027,,4.65,5.93
2028,,4.71,5.99
2029,,4.78,6.06
2030,,4.83,6.11
2031,,4.91,6.19
2032,,5.0,6.28
2033,,5.08,6.36
2034,,5.17,6.45
2035,,5.23,6.51
2036,,5.31,6.59
2037,,5.37,6.65
2038,,5.46,6.74
2039,,5.52,6.8
2040,,5.62,6.9
