year,Base case cost,Modeled residential energy efficiency
2017,793591.585888,793591.585888
2018,833653.082821,833653.082821
2019,889222.255985,889222.255985
2020,913776.076685,913776.076685
2021,931868.365622,931868.365622
2022,944791.429149,944791.429149
2023,960915.288366,960915.288366
2024,968737.585306,968737.585306
2025,977863.598402,977863.598402
2026,988293.327655,988293.327655
2027,997419.340751,997419.340751
2028,1005241.63769,1005241.63769
2029,1014367.65079,1014367.65079
2030,1020886.23157,1020886.23157
2031,1040302.11134,1040302.11134
2032,1052138.24498,1052138.24498
2033,1062659.25267,1062659.25267
2034,1074495.38631,1074495.38631
2035,1091737.40632,1091737.40632
2036,1102349.69243,1102349.69243
