year,Base case diesel consumed,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,109433.466773,81316.4842215,78189.7330964
2020,109433.466773,81316.4842215,78189.7330964
2021,109433.466773,81316.4842215,78189.7330964
2022,109507.408304,81390.4257531,78263.674628
2023,109507.408304,81390.4257531,78263.674628
2024,109581.349836,81464.3672847,78337.6161596
2025,109581.349836,81464.3672847,78337.6161596
2026,109581.349836,81464.3672847,78337.6161596
2027,109581.349836,81464.3672847,78337.6161596
2028,109581.349836,81464.3672847,78337.6161596
2029,109655.291367,81538.3088163,78411.5576912
2030,109655.291367,81538.3088163,78411.5576912
2031,109655.291367,81538.3088163,78411.5576912
2032,109655.291367,81538.3088163,78411.5576912
2033,109655.291367,81538.3088163,78411.5576912
2034,109729.232899,81612.2503479,78485.4992228
2035,109877.115962,81760.1334111,78633.382286
2036,109803.174431,81686.1918795,78559.4407544
2037,109877.115962,81760.1334111,78633.382286
2038,109951.057494,81834.0749427,78707.3238176
