year,Base case diesel consumed,Modeled solar power
2020,109433.466773,107800.022372
2021,109433.466773,107813.089927
2022,109507.408304,107899.994474
2023,109507.408304,107912.853784
2024,109581.349836,107999.551752
2025,109581.349836,108012.206137
2026,109581.349836,108024.759286
2027,109581.349836,108037.212011
2028,109581.349836,108049.565113
2029,109655.291367,108135.760923
2030,109655.291367,108147.917166
2031,109655.291367,108159.97616
2032,109655.291367,108171.938682
2033,109655.291367,108183.805503
2034,109729.232899,108269.518922
2035,109877.115962,108429.079697
2036,109803.174431,108366.722455
2037,109877.115962,108452.155603
2038,109951.057494,108537.496817
2039,110024.999025,108622.746834
